IMAGE COLUMN, IMAGE ROW, REFERENCE LONGITUDE, REFERENCE LATITUDE, HEIGHT, GCP INDEX, IMAGE INDEX, RUN INDEX, USAGE, FP SIZE, FP RESPONSE, ERROR
1239.951556202951906, 2389.787573278396394, 34.271413019419256, 5.789435782779396, 445.000000000000000, 1, 1, 1, 1, 16.000000000000000, 70.000000000000000, 2.583813201963612
1241.500578276734132, 2374.143106648593402, 34.271411867114836, 5.788920266372716, 446.000000000000000, 2, 1, 1, 1, 12.000000000000000, 70.000000000000000, 1.066262676299286
1318.332823649833927, 2062.334075799535640, 34.270192958694480, 5.776858036513572, 446.000000000000000, 3, 0, 1, 1, 8.000000000000000, 313.075195312500000, 2.945961812176944
1329.563224158919411, 2053.783069166102450, 34.269785577628561, 5.776397692659031, 443.000000000000000, 4, 0, 1, 1, 6.000000000000000, 70.000000000000000, 0.916698695246492
1341.369422788034854, 2021.526123074414272, 34.269484866509075, 5.775177397005915, 444.000000000000000, 5, 0, 1, 1, 12.000000000000000, 70.000000000000000, 2.745330689720108
1440.045910731106915, 2008.107616818500446, 34.265852312129866, 5.774073059652173, 444.000000000000000, 6, 0, 1, 1, 6.000000000000000, 70.000000000000000, 2.294367418532524
1060.589088466588692, 1941.323204058535339, 34.280479795090095, 5.773524785001565, 447.000000000000000, 7, 0, 1, 1, 12.000000000000000, 70.000000000000000, 2.508498143927561
1229.093355966507033, 1963.744969426509442, 34.274032312915836, 5.773512136206185, 446.000000000000000, 8, 0, 1, 1, 8.000000000000000, 70.000000000000000, 1.551315586138273
1294.529282317480920, 1970.879597283405928, 34.271648206811321, 5.773436075607541, 446.000000000000000, 9, 0, 1, 1, 22.000000000000000, 70.000000000000000, 3.715803440127550
1295.899320152189603, 1966.001885777571715, 34.271539483642705, 5.773273523209913, 444.000000000000000, 10, 0, 1, 1, 8.000000000000000, 70.000000000000000, 0.341908584005015
1250.858411579742324, 1953.133729455209050, 34.273326942074917, 5.773052462583066, 446.000000000000000, 11, 0, 1, 1, 12.000000000000000, 340.422851562500000, 1.560897518991505
1468.608623570576356, 1939.241335879160033, 34.265114980756167, 5.771415700362472, 444.000000000000000, 12, 0, 1, 1, 12.000000000000000, 455.061523437500000, 3.469442288211757
1136.819656427800055, 1816.411242325315015, 34.278274200868537, 5.768483098540354, 447.000000000000000, 13, 0, 1, 1, 6.000000000000000, 193.075195312500000, 0.772997879491318
1349.360997333218847, 1641.522352326642931, 34.271240796062294, 5.760793194952750, 447.000000000000000, 14, 0, 1, 1, 12.000000000000000, 278.515625000000000, 0.578578533039065
1347.456518263792077, 1625.424346965952282, 34.271320797299744, 5.760223231754418, 449.000000000000000, 15, 0, 1, 1, 6.000000000000000, 70.000000000000000, 2.659548678207931
1336.927726562654016, 1623.967905114402356, 34.271754167914864, 5.760195132183569, 452.000000000000000, 16, 0, 1, 1, 6.000000000000000, 70.000000000000000, 1.537087484426433
1385.226284413326312, 1617.730519984695547, 34.269965179884053, 5.759710734606874, 447.000000000000000, 17, 0, 1, 1, 12.000000000000000, 330.624023437500000, 1.742792319130834
1453.476405288421347, 1493.124336796846592, 34.268084880376037, 5.754695382679983, 447.000000000000000, 18, 0, 1, 1, 8.000000000000000, 70.000000000000000, 0.851808328025081
1578.656901695209399, 1197.594598926629487, 34.264916467100640, 5.742899700887651, 450.000000000000000, 19, 0, 1, 1, 12.000000000000000, 70.000000000000000, 1.540703653053159
1546.594171183260187, 1114.408216952404700, 34.266616582678985, 5.739965607393755, 453.000000000000000, 20, 0, 1, 1, 8.000000000000000, 70.000000000000000, 0.957692340391110
1521.239432661910769, 1109.332524641260761, 34.267591709613654, 5.739936314063725, 451.000000000000000, 21, 0, 1, 1, 12.000000000000000, 264.538085937500000, 1.652221405230141
1496.449865746585829, 1091.415040106461220, 34.268619813233073, 5.739364248527262, 453.000000000000000, 22, 0, 1, 1, 16.000000000000000, 327.911132812500000, 0.960088589729651
1489.939185714843688, 1091.195498828026984, 34.268782344109155, 5.739363887977647, 452.000000000000000, 23, 0, 1, 1, 12.000000000000000, 318.313476562500000, 2.448880544856249
1589.597605651895719, 1095.939826350432440, 34.265043652774771, 5.739155108483735, 454.000000000000000, 24, 0, 1, 1, 12.000000000000000, 189.810546875000000, 4.771714724077207
1519.348406765258915, 1087.423555389948660, 34.267725293763704, 5.739094905436443, 452.000000000000000, 25, 0, 1, 1, 12.000000000000000, 70.000000000000000, 1.328323153734840
1528.196627001849038, 1080.717963676930822, 34.267534775408478, 5.738688337735306, 451.000000000000000, 26, 0, 1, 1, 12.000000000000000, 218.212890625000000, 4.840779214400137
1430.552426850049414, 1048.194362377305424, 34.271298686078993, 5.738055933959442, 456.000000000000000, 27, 0, 1, 1, 8.000000000000000, 208.133789062500000, 0.809718870720741
1573.650202717299408, 1061.208129369497101, 34.265853375219734, 5.737823815505266, 453.000000000000000, 28, 0, 1, 1, 12.000000000000000, 70.000000000000000, 0.353123549768698
1491.691260252801385, 1048.107091706262281, 34.268968423548195, 5.737762648813088, 451.000000000000000, 29, 0, 1, 1, 12.000000000000000, 393.790039062500000, 1.373518383861625
1609.872522912101203, 1055.532494845613201, 34.264525144803649, 5.737419762599774, 454.000000000000000, 30, 0, 1, 1, 12.000000000000000, 70.000000000000000, 0.303201776560590
1512.911856554619362, 1041.008134367309594, 34.268209108880626, 5.737384475407571, 451.000000000000000, 31, 0, 1, 1, 8.000000000000000, 70.000000000000000, 1.369193490524492
